2021.02.25,00:00,66.51,67.24,64.57,64.72,1993061
2021.02.26,00:00,65.17,65.245,63.91,63.985,1348315
2021.03.01,00:00,65.94,67.7,65.92,67.37,1807059
2021.03.02,00:00,67.99,68.71,67.62,67.93,1890356
2021.03.03,00:00,68.62,68.63,65.78,66.09,3390104
2021.03.04,00:00,66.41,67.01,62.6422,62.76,3679920
2021.03.05,00:00,63.92,64.09,62.12,63.63,3556752
2021.03.08,00:00,63.52,63.99,60.2,60.31,2097452
2021.03.09,00:00,63.24,64.46,62.21,63.49,2308846
2021.03.10,00:00,64.44,64.95,63.17,63.73,1760283
